run,experiment_id,fold,head,bin,auc,sens_at_fpr,thr_at_fpr,n_pos,n_neg,fpr_target
catboost_cfg_sweep,early_fusion_catboost_cfg2,1,fus,"(5.0,10.0]",0.5781544256120528,0.1111111111111111,0.5961357160701377,9,59,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg2,1,fus,"[0.0,5.0]",0.565677966101695,0.1875,0.5961357160701377,16,59,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg2,2,fus,"(10.0,15.0]",0.6316666666666667,0.3,0.4004033102996154,10,60,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg2,2,fus,"(5.0,10.0]",0.5833333333333333,0.2,0.4004033102996154,5,60,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg2,2,fus,"[0.0,5.0]",0.5520833333333334,0.1875,0.4004033102996154,16,60,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg2,3,fus,"(10.0,15.0]",0.8308457711442786,0.0,0.5680474593005518,3,67,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg2,3,fus,"(5.0,10.0]",0.5863539445628998,0.2857142857142857,0.5680474593005518,7,67,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg2,3,fus,"[0.0,5.0]",0.6769722814498934,0.2857142857142857,0.5680474593005518,14,67,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg2,4,fus,"(10.0,15.0]",0.43492063492063493,0.0,0.4341499556843602,5,63,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg2,4,fus,"(5.0,10.0]",0.6598639455782312,0.14285714285714285,0.4341499556843602,7,63,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg2,4,fus,"[0.0,5.0]",0.6825396825396826,0.375,0.4341499556843602,16,63,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg2,5,fus,"(10.0,15.0]",0.54,0.0,0.729924035462224,2,75,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg2,5,fus,"(5.0,10.0]",0.6466666666666667,0.0,0.729924035462224,4,75,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg2,5,fus,"[0.0,5.0]",0.6266666666666667,0.2,0.729924035462224,10,75,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg3,1,fus,"(10.0,15.0]",0.41888619854721554,0.14285714285714285,0.6216638120345117,7,59,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg3,1,fus,"(5.0,10.0]",0.5800376647834276,0.1111111111111111,0.6216638120345117,9,59,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg3,1,fus,"[0.0,5.0]",0.5476694915254239,0.1875,0.6216638120345117,16,59,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg3,2,fus,"(10.0,15.0]",0.615,0.3,0.37209424066392227,10,60,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg3,2,fus,"(5.0,10.0]",0.62,0.2,0.37209424066392227,5,60,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg3,2,fus,"[0.0,5.0]",0.5583333333333333,0.1875,0.37209424066392227,16,60,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg3,3,fus,"(10.0,15.0]",0.7661691542288556,0.0,0.5611539319349529,3,67,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg3,3,fus,"(5.0,10.0]",0.5650319829424306,0.14285714285714285,0.5611539319349529,7,67,0.1
